station,year,month,hour,variable,avg_value
20,2024,5,1,WDD,120.94206166666667
20,2024,5,1,WDS,0.7242823333333334
20,2024,5,2,PM10,11.495626000000001
20,2024,5,2,PM2,8.0340315
20,2024,5,2,RAIN,0.0
20,2024,5,2,RH,84.99206
20,2024,5,2,So2,20.263581833333333
20,2024,5,2,WDD,120.29617333333334
20,2024,5,2,WDS,0.7023611666666666
20,2024,5,3,PM10,14.260287833333335
20,2024,5,3,PM2,8.590103166666667
20,2024,5,3,RAIN,0.0
20,2024,5,3,RH,85.54384333333333
20,2024,5,3,So2,20.8532515
20,2024,5,3,WDD,139.00993333333335
20,2024,5,3,WDS,0.7373843333333333
20,2024,5,4,PM10,13.625790833333333
20,2024,5,4,PM2,8.071227166666667
20,2024,5,4,RAIN,0.0
20,2024,5,4,RH,85.49023166666666
20,2024,5,4,So2,19.7647315
20,2024,5,4,WDD,159.55864499999998
20,2024,5,4,WDS,0.839838
20,2024,5,5,PM10,12.955157833333333
20,2024,5,5,PM2,7.3736749999999995
20,2024,5,5,RAIN,0.0
20,2024,5,5,RH,86.53280166666667
20,2024,5,5,So2,20.659259333333335
20,2024,5,5,WDD,180.98014999999998
20,2024,5,5,WDS,0.6930091666666667
20,2024,5,6,PM10,17.069456833333334
20,2024,5,6,PM2,7.599933666666668
20,2024,5,6,RAIN,0.0
20,2024,5,6,RH,86.27687666666667
20,2024,5,6,So2,20.34963266666667
20,2024,5,6,WDD,154.83752
20,2024,5,6,WDS,0.7321993333333333
20,2024,5,7,PM10,18.557055000000002
20,2024,5,7,PM2,8.008812833333334
20,2024,5,7,RAIN,0.0
20,2024,5,7,RH,86.44398
20,2024,5,7,So2,20.834845333333334
20,2024,5,7,WDD,183.89428333333333
20,2024,5,7,WDS,0.9889583333333333
20,2024,5,8,PM10,19.293665
20,2024,5,8,PM2,9.313728
20,2024,5,8,RAIN,0.005185166666666667
20,2024,5,8,RH,81.12997833333334
20,2024,5,8,So2,20.367531500000002
20,2024,5,8,WDD,176.36775
20,2024,5,8,WDS,1.2588658333333334
20,2024,5,9,PM10,15.297716
20,2024,5,9,PM2,8.290795428571428
20,2024,5,9,RAIN,0.0
20,2024,5,9,RH,77.51105142857143
20,2024,5,9,So2,21.468794142857142
20,2024,5,9,WDD,181.6755
20,2024,5,9,WDS,1.816369
20,2024,5,10,PM10,12.501653142857142
20,2024,5,10,PM2,8.129304428571428
20,2024,5,10,RAIN,0.0
20,2024,5,10,RH,73.71424571428572
20,2024,5,10,So2,20.775782
20,2024,5,10,WDD,171.90521428571427
20,2024,5,10,WDS,2.337043714285714
20,2024,5,11,PM10,7.410143333333334
20,2024,5,11,PM2,5.328601333333333
20,2024,5,11,RAIN,0.08245366666666666
20,2024,5,11,RH,70.61136666666667
20,2024,5,11,So2,16.2589994
20,2024,5,11,WDD,155.21259999999998
20,2024,5,11,WDS,2.6343056666666667
20,2024,5,12,PM10,8.7775582
20,2024,5,12,PM2,4.7585679999999995
20,2024,5,12,RAIN,0.0
20,2024,5,12,RH,65.283722
20,2024,5,12,So2,91.93740499999998
20,2024,5,12,WDD,146.254178
20,2024,5,12,WDS,2.7747222000000002
20,2024,5,13,PM10,6.182289666666667
20,2024,5,13,PM2,3.7738921666666667
20,2024,5,13,RAIN,0.0025
20,2024,5,13,RH,64.89342666666666
20,2024,5,13,So2,19.43011866666667
20,2024,5,13,WDD,173.5468
20,2024,5,13,WDS,2.7889583333333334
20,2024,5,14,PM10,18.518600999999997
20,2024,5,14,PM2,3.1276912
20,2024,5,14,RAIN,0.0
20,2024,5,14,RH,63.710806000000005
20,2024,5,14,So2,17.1240944
20,2024,5,14,WDD,153.06473999999997
20,2024,5,14,WDS,2.6573612
20,2024,5,15,PM10,17.106676999999998
20,2024,5,15,PM2,3.4210508000000006
20,2024,5,15,RAIN,0.0
20,2024,5,15,RH,61.661055999999995
20,2024,5,15,So2,17.636705999999997
20,2024,5,15,WDD,175.03992
20,2024,5,15,WDS,2.5288056
20,2024,5,16,PM10,13.8815642
20,2024,5,16,PM2,4.0392452
20,2024,5,16,RAIN,0.0
20,2024,5,16,RH,62.557916
20,2024,5,16,So2,19.9009604
20,2024,5,16,WDD,173.03656
20,2024,5,16,WDS,2.1541942
20,2024,5,17,PM10,11.365621749999999
20,2024,5,17,PM2,3.25642025
20,2024,5,17,RAIN,0.0
20,2024,5,17,RH,67.80993
20,2024,5,17,So2,19.76675875
20,2024,5,17,WDD,157.16242499999998
20,2024,5,17,WDS,2.15277775
20,2024,5,18,PM10,9.63359225
20,2024,5,18,PM2,3.3796637499999997
20,2024,5,18,RAIN,0.0
20,2024,5,18,RH,74.29184000000001
20,2024,5,18,So2,18.54239675
20,2024,5,18,WDD,159.406275
20,2024,5,18,WDS,1.83173625
20,2024,5,19,PM10,12.172865999999999
20,2024,5,19,PM2,4.6895125
