IDExpediente,Estado,Regional,Departamento,Municipio,Vereda,Class,TipoCombustible,TipoFuenteEmision,Cuenca,latitude,longitude,estacion_cercana_1,distancia_cercana_1,estacion_cercana_2,distancia_cercana_2,es_cercana
171376.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.530282179260267,-74.14265828905526,8,0.05,4,9.33,True
171570.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Canavita,,Gas,Caldera,Río Bogotá,4.955374410959588,-73.92956321239852,18,4.85,15,5.12,True
172430.0,Seguimiento y Control,Sabana Centro,Cundinamarca,ZIPAQUIRA,Centro    ,,Otros,Horno,Río Bogotá,5.009788663543848,-73.9962884761451,10,0.72,15,4.67,True
172924.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,ACPM,Caldera,Río Bogotá,4.526094739623085,-74.14772213040409,8,0.76,4,9.38,True
173286.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.051780797728392,-73.97197091052757,12,0.66,10,5.76,True
173902.0,Seguimiento y Control,Sabana Centro,Cundinamarca,SOPO,Pueblo Viejo,,Carbón,Horno,Río Bogotá,4.922950696435342,-73.95118215031653,18,2.9,15,6.32,True
174480.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,EL OLIVO,,Carbón,Horno,Río Bogotá,5.067159318971524,-73.95194813879871,12,3.09,9,8.18,True
174562.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.522333277103341,-74.14262153423219,8,0.88,4,10.04,True
174768.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,La isla,,Gas,Horno,Río Bogotá,4.750422507990216,-74.18150134396804,14,5.04,19,6.91,False
174782.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.520469975307662,-74.14711785236653,8,1.21,4,9.94,True
174832.0,Seguimiento y Control,Sabana Centro,Cundinamarca,SOPO,La Carolina,,Gas,Horno,Río Bogotá,4.925290703351028,-73.94041636598074,18,3.75,15,6.6,True
175104.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Mortiño,,Gas,Horno,Río Bogotá,5.038589828443855,-73.93841800424288,12,4.64,9,7.35,True
175380.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.52988273894483,-74.15797713391493,8,1.75,4,8.43,True
176396.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,Ramada  Flores,,Carbón,Horno,Río Suárez,5.323226569497588,-73.71852365618248,20,22.79,21,25.5,False
178612.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Panamá,,Gas,HORNO TÚNEL 1 SOACHA 2,Río Bogotá,4.459956039015855,-74.10719670471978,8,8.72,5,16.76,False
